gene,HL60,MCF7,K562,A2780,A549,SKOV3
MPC2,3.695147938,3.67307322,6.039858161,4.167236359,4.817600312,5.080923642
TERF2IP,5.38844244,5.804022994,5.64087739,5.07932507,4.388324282,5.171845235
TRAM2,1.064763899,2.927273304,2.973812827,3.375992305,3.63244314,4.878214316
GTPBP8,2.579964904,3.151449866,3.828937102,3.500509987,4.141053471,3.791321646
NISCH,3.998854877,3.712241677,4.709749385,4.965376382,2.735255916,4.707521839
ARNT2,0.196516382,2.055968281,0.11704136,0.222072841,2.630931638,3.263767364
CDK19,1.617198589,3.089761199,3.843381506,2.096441512,2.54878008,4.699242026
ZNF586,3.02879215,1.98626267,2.591493483,3.510201121,2.716203933,2.813886702
SIRT3,3.12691814,3.469753292,4.668245939,4.405475929,3.494046144,4.315642643
YTHDF1,4.573037615,5.792175021,4.412453313,4.944127746,4.601304597,5.257547821
PRKCH,0.006993408,3.874492241,2.075824494,4.04086301,2.691601423,3.049416598
GNB5,1.950191038,4.245552396,1.061475321,3.434126696,4.807970933,5.678785728
AKAP8L,4.574667727,5.243515926,5.959249231,5.491608608,4.019492791,5.092281989
TRAPPC3,5.538745338,5.599480812,6.518530984,6.301576865,6.005251313,6.545786644
SLC25A4,0.495859438,3.533703626,4.606934334,5.037738787,3.213041039,5.062965837
PYCR1,2.179444129,6.590241626,7.930611007,0.057296382,5.379920921,4.650192198
ATP6V0B,8.659603495,7.522171208,7.781150486,6.623120662,6.369788697,7.033725362
IGHMBP2,2.988006615,3.164400475,3.248152451,3.054433723,2.656906249,3.590738706
TBXA2R,-0.010292417,-0.010292417,3.011746958,1.663976338,0.511802034,0.106492654
ATF5,6.649578728,6.096481683,8.75518628,5.981628018,5.644687803,6.195459609
NUSAP1,5.2149217,5.715477711,7.239230629,6.250019851,5.907258471,7.267463149
TP53,2.356531374,6.304821756,3.513917203,5.579234021,5.062369802,1.784100542
TMEM97,4.721694459,4.686538877,5.533748297,5.173013822,6.042033815,4.159243154
RRP8,4.744870275,2.407379002,3.930905554,3.586019757,4.165834732,3.229071501
CDKN2A,3.934243806,1.08656968,0.276919425,3.075219288,-0.002487683,-0.014936137
SHC1,3.590928385,5.385928309,5.675119061,8.642788638,6.693340484,6.582358464
LSM6,6.465826944,5.142819746,6.633498496,7.593062254,4.991318038,6.556131345
HDAC2,5.838430199,6.334463503,7.022349867,6.381918523,6.391643473,7.428100759
CANT1,2.781276018,6.106302667,4.572250937,4.680206418,5.07383528,5.259753779
FAT1,2.749677292,3.162429236,2.991901192,6.286767034,6.457850222,6.972421889
IGF2R,3.687107907,4.140164515,5.96419249,4.440550042,4.157313265,6.736683295
RPL39L,2.157674448,4.441265756,6.541654788,5.632602504,5.532774149,6.3366643
CRTAP,5.090251185,5.163906463,6.52189463,7.062787547,7.252208832,6.908314626
GATA3,0.000404734,8.161150524,0.118443235,0.040870097,2.222256819,0.203812198
CAST,1.87008193,5.205337271,5.821024387,2.923011734,7.061515371,7.297322884
FYN,0.928198337,1.052638604,4.051322435,2.369970755,1.439434569,4.438637427
LPGAT1,2.073552385,3.44971363,3.939482505,3.869766184,4.887131087,4.433085507
ALDH7A1,0.464434954,6.029295431,0.329361881,7.356452589,5.487791656,7.820974837
SNX11,3.875472432,4.970609712,3.94061782,2.973315859,4.369718999,3.870187792
ORC1,3.511738587,2.821532307,5.329206264,4.014660227,3.720330665,3.206237054
CHN1,0.660762939,3.656875502,0.564024131,3.00527245,4.654518599,3.232780913
PLCB3,2.778257011,3.397873099,3.853274754,4.3769215,3.270042117,4.824926434
CYTH1,3.915709418,3.82469312,4.15858439,3.87687957,4.315677258,4.79881977
SUV39H1,3.672139398,3.485866185,4.3461398,3.763724945,3.72853517,3.843743577
GAPDH,11.10584098,11.7394662,10.90215039,11.60849894,12.51777277,11.53113783
TIMM22,2.058389086,3.398858021,2.342775315,3.9018241,4.284978613,3.266813602
P4HTM,3.148452301,4.89810838,-3.83E-05,-0.215406494,2.735490796,3.321436123
FBXO11,4.519371972,4.474999739,5.016439638,5.025404141,5.460343599,5.368226966
PPP2R5A,3.632707635,4.011693473,5.731160024,4.357627115,4.105294326,4.006815976
ATP1B1,0.598789415,4.614869194,1.926774225,1.150641734,7.589504164,6.337638392
ZNF589,2.823741547,2.220785144,4.251496643,3.576583567,1.774161908,2.296456692
SLC5A6,4.879525088,5.753537995,4.466161186,6.170711519,5.593210393,4.66528114
DERA,3.114618958,4.06298936,3.764010201,4.802625095,5.623695055,4.622403656
SMNDC1,3.444811413,4.132842552,3.981628104,4.910106295,4.649990971,4.738711608
SLC37A4,4.263173068,5.314067865,5.376919396,4.651211376,3.056777468,4.462594512
NGRN,4.548121019,7.198942221,6.217067321,5.970229069,7.100231288,6.466772282
BUB1B,5.128153121,4.171802068,5.372238957,6.254561257,4.61365823,7.151612697
HPRT1,6.140382754,5.824367584,6.52787171,6.047229479,6.559204672,6.029277925
ITFG1,3.339057245,4.405516302,4.546000786,3.848915486,5.371749944,5.116407436
CDK7,3.746485571,5.553435062,5.878277571,5.270779724,5.89329263,5.469861409
PPP2R5E,2.530244311,4.255844663,3.472332548,3.682234712,4.420212527,4.657167608
SPEN,3.953732509,4.129743343,5.049365013,5.04400295,3.485237518,4.848518322
CAB39,4.399534635,3.585169148,5.518284957,4.071615568,4.657232032,5.797094277
CALU,4.319591151,6.295800496,8.189080226,6.452819346,6.905935293,7.288846711
GFOD1,2.210310048,1.485017819,1.762211603,1.460892885,1.446218148,1.823790845
CCDC92,0.13310981,3.16195492,2.612033112,3.187900045,4.012370357,5.122512722
ALDOA,10.10306933,10.63425949,10.76458726,10.08417101,9.759860299,10.59876116
UBE3C,3.273208489,4.84645737,5.154196914,4.80433704,5.304037282,4.873145797
AKR7A2,4.251013042,5.216655341,6.086682082,5.047236357,3.979639628,5.302605545
FOXO3,1.953993854,3.714627405,3.101151195,2.702042597,1.473554871,4.079555653
PPIC,0.261982658,6.679693069,3.383644735,0.349741426,3.877801733,6.445855639
INPP4B,0.621944413,4.44198925,-0.018756243,2.888441148,2.970809676,4.063591766
CASP7,1.827455109,4.367717902,4.596544658,4.637778384,4.325807819,5.438150606
CEBPA,6.775625863,2.548747255,0.705036889,2.589080968,1.718078306,0.919473519
PTPN12,3.860139131,4.482125374,5.125261725,5.293340331,5.82806296,5.423475136
MTA1,5.522569839,5.750378562,5.118363162,5.959797259,4.087627934,5.968934794
